,Unnamed: 0,Key,Ans,Marks,Similarity,Grammer,Keyword
87,87,A man and woman are talking.,A man and woman is eating.,1.6,0.3315404,0.7074640989303589,2.0
88,88,A small dog is chasing a yoga ball.,A dog is chasing a ball.,4.0,0.7752586,0.9958535432815552,1.0
89,89,The men are playing cricket.,The men are playing basketball.,2.2,0.35318232,0.9915289878845216,0.3333333333333333
90,90,A man rides off on a motorcycle.,A man is riding on a motorcycle.,4.4,0.8074822,0.9962134957313538,1.0
91,91,A man is playing a guitar.,A man is singing and playing a guitar.,3.6,0.662355,0.9920098781585692,1.0
92,92,The man talked on the telephone.,The man is talking on the phone.,3.6,0.72101533,0.9954441785812378,1.0
93,93,A man is fishing.,A man is exercising.,0.5,0.10342409,0.995291829109192,1.0
94,94,A man is levitating.,A man is talking.,0.8,0.14973538,0.9947494864463806,1.0
95,95,Two boys are driving.,Two bays are dancing.,0.6000000000000001,0.14468071,0.502770185470581,0.0
96,96,A man is riding on a horse.,A girl is riding a horse.,2.6,0.50040555,0.9957375526428224,0.5
97,97,A man is riding a bicycle.,A monkey is riding a bike.,2.0,0.36959177,0.9951586127281188,0.0
98,98,A man is slicing potatoes.,A woman is peeling potato.,2.2,0.4663847,0.7279088497161865,1.0
99,99,A woman is peeling a potato.,A man is slicing potato.,2.4,0.45627978,0.9581157565116882,1.0
100,100,A man is playing a guitar.,Someoen is playing guitar.,3.6,0.7594439,0.8729609251022339,0.4857142857142857
101,101,A woman is slicing a leek.,A woman is slicing ginger.,2.2,0.42603227,0.9956355690956116,0.5
102,102,The man cut a paper plate.,A man is cutting a paper plate.,4.8,0.9952864,0.9960590600967408,0.5
103,103,The man is playing the guitar.,A man is playing the flute.,1.643,0.36533496,0.9956474900245668,0.5142857142857142
104,104,A man is playing the piano.,The man is playing the violin.,1.75,0.29961783,0.9949894547462464,0.5
105,105,A woman is slicing up some meat.,A woman is breading some meat.,2.25,0.39327788,0.9964381456375122,1.0
106,106,A man is playing on his keyboard.,A man is playing a keyboard piano.,4.0,0.78786427,0.990060329437256,1.0
107,107,The lady chopped up the green onions.,The lady cut up a green onion.,4.8,0.99351466,0.9951786994934082,0.6296296296296297
108,108,Someone is sitring noodles in water.,A woman is boiling noodles in water.,3.2,0.6202633,0.9890317320823668,0.6666666666666666
109,109,Lionel Richie is dancing on the ceiling.,Lionel Ritchie dances while standing on the ceiling.,4.0,0.81940037,0.9876644015312196,0.5142857142857142
110,110,A man is playing a piano.,A person is playing the piano.,4.4,0.7339003,0.9922226071357728,0.5
111,111,A woman is playing flute.,A woman plays on a flute.,4.6,0.9694883,0.9913420081138612,1.0
112,112,A boy is checking a calender.,A boy is looking at a calendar.,3.8,0.83947843,0.9957723021507264,0.5
113,113,A woman is cutting an onion.,A woman is chopping onions.,4.8,0.97155267,0.9960541725158693,1.0
114,114,A man is playing guitar.,A man plays a guitar.,4.857,0.9968176,0.9942619800567628,1.0
115,115,A woman is using a sewing machine.,A woman is sewing on a machine.,5.0,0.996846,0.9963584542274476,1.0
116,116,A woman is flipping pancakes.,A cartoon chef is flipping pancakes.,2.533,0.5298217,0.9959285855293274,0.5
117,117,A man is running on the road.,A car is driving down the road.,1.0,0.18723238,0.996410310268402,0.5
118,118,A man is riding on a horse.,A man is talking on a phone.,1.0,0.14650784,0.9960178732872008,0.5
119,119,A man is riding a bike.,A man is riding on a horse.,2.0,0.31287515,0.9961024522781372,0.5
120,120,A woman is dancing.,A man is eating.,0.143,0.018260809,0.995543658733368,1.0
121,121,A man is playing a piano.,A man is playing a flute.,2.0,0.34647903,0.9959362745285034,0.5
122,122,A man is playing a flute.,A man is playing a piano.,1.6,0.3510831,0.9958100318908693,0.5
123,123,A man is spinning.,A man is dancing.,1.6,0.26078078,0.9952211976051332,1.0
124,124,A monkey is swinging from limb to limb.,A monkey is swinging from tree to tree.,3.4,0.64894605,0.9966933727264404,0.5
125,125,The people got off the train.,The people got off the train at the station.,4.0,0.8206927,0.9944191575050354,1.0
126,126,A dog is jumping on a trampoline.,A dog bounces on a trampoline.,4.8,0.9942753,0.9957538843154908,1.0
127,127,A boy is playing an instrument.,A man is playing a trumpet.,2.5,0.53038394,0.9957971572875975,0.0
128,128,A woman plays the guitar.,A man sings and plays the guitar.,1.75,0.36901534,0.9933905601501464,1.0
129,129,A woman is picking a can.,A woman is slicing a tomato.,1.0,0.14510328,0.9959967136383056,1.0
130,130,A man is climbing a rope.,A man climbs up a rope.,5.0,0.9968279,0.9961344003677368,1.0
131,131,A man is lifting a car.,A man is climbing a wall.,1.4,0.22034924,0.9962453246116638,0.5
132,132,A man and woman are driving down the street in a jeep.,A man and woman are driving down the road in an open air vehicle.,4.0,0.7713429,0.994654417037964,1.0
133,133,The shirtless man sat in a chair.,A shirtless man is sitting on a chair.,3.8,0.8030769,0.9912678599357604,0.6428571428571429
134,134,Two women are wrestling.,Two women are wrestling on the floor.,4.0,0.81395155,0.9954832792282104,0.5
135,135,The puppy played with a blue tennis ball.,A puppy is playing with a tennis ball.,4.0,0.8253708,0.99558687210083,0.6428571428571429
136,136,A kangroo is eating something.,A kangaroo is eating.,4.8,0.9860108,0.9950639605522156,0.0
137,137,A cat is playing a piano.,A man is playing a guitar.,0.6000000000000001,0.09478437,0.9958698153495787,0.0
138,138,The man cut some carpet with a knife.,A man is cutting carpet with a knife.,4.75,0.97980314,0.9960464835166932,1.0
139,139,A woman is riding a motorized scooter down a road.,A man is riding a motor scooter.,2.2,0.47619748,0.996051013469696,0.6666666666666666
140,140,someone is slicing a vegetable.,Someone is slicing a tomato.,3.0,0.6190204,0.9961323738098145,0.0
141,141,A woman is dancing.,A man is talking.,0.0,0.008582215,0.9947494864463806,1.0
142,142,A dog licks up a baby's drool.,A dog licks a baby.,2.2,0.57085955,0.9935539960861206,1.0
143,143,A man is rowing a boat.,A man is slicing a tomato.,0.4,0.083330244,0.9959225654602052,0.5
144,144,A man cuts up potatos.,A man slices potatoes.,4.8,0.99674267,0.9952117800712584,0.5
145,145,A woman is chopping up garlic.,The woman is dicing garlic.,4.8,0.9862998,0.9908031225204468,1.0
146,146,An animal run in circles.,A squirrel runs in circles.,3.8,0.72110116,0.99585622549057,0.5
147,147,A man is walking slowly across a rope bridge.,A boy is walking across a bridge.,3.0,0.6005005,0.9962313771247864,0.4857142857142857
148,148,A man is playing the guitar.,A man seated in a room is playing the guitar.,4.0,0.8191204,0.9938663840293884,1.0
149,149,A man plays the flute.,A man is playing a flute.,5.0,0.99674326,0.9959362745285034,1.0
150,150,A woman cracks two eggs into a glass bowl.,A woman is cracking an egg into a bowl.,3.8,0.7393819,0.994262993335724,1.0
151,151,A man is cutting a fish.,A man guts a fish.,3.0,0.61193395,0.9945173859596252,1.0
152,152,Two men are packing suitcases into the trunk of a car.,The men are putting suitcases into the car's trunk.,4.4,0.9118311,0.993892788887024,1.0
153,153,A man pours oil on some tomatos.,The man poured oil on the cut tomatoes.,3.8,0.878143,0.9941543936729432,0.6666666666666666
154,154,A man is slicing something.,A man is slicing a bun.,3.0,0.6308409,0.9953775405883788,1.0
155,155,A man is paddling a canoe.,A man is playing a harp.,0.667,0.09599151,0.9960086345672609,0.5
156,156,A man and woman are walking together through the woods.,A man and woman are walking arm in arm through a wooded area.,4.0,0.8399999,0.996407687664032,1.3333333333333333
157,157,The woman picked up the kangaroo.,A woman picks up a baby kangaroo.,3.75,0.78495497,0.9949041604995728,1.0
158,158,Fish are swimming.,A fish is swimming.,4.133,0.8656964,0.9949690699577332,0.0
159,159,Two women mix something in a food processor.,Two women make something in a blender.,4.0,0.8797431,0.993787169456482,0.5
160,160,A person is surfing a large wave.,A person is surfing.,3.6,0.7652532,0.991912603378296,0.6428571428571429
161,161,A man is playing a guitar.,A man is stabbing a target.,1.2,0.1451299,0.9915701150894164,0.33962264150943394
162,162,A man is playing a flute in a band.,A man is playing a guitar.,1.6,0.32755327,0.9958698153495787,0.3333333333333333
163,163,The man spread butter on the loaf of bread.,A man is spreading butter onto bread.,4.0,0.84135556,0.9893201589584352,0.75
164,164,A person is boiling noodles.,A woman is boiling noodles in water.,4.0,0.77204454,0.9890317320823668,0.5
165,165,A group of people dance on a hill.,A group of people are dancing.,3.2,0.65399164,0.995876669883728,0.6792452830188679
166,166,A man is dancing outside.,A man is playing flute.,1.0,0.16897845,0.9938390851020812,1.0
167,167,A woman is feeding a man.,A woman is mixing meat.,1.0,0.20962352,0.9937250018119812,1.0
168,168,A man is putting a pan into an oven.,A woman is cutting an onion.,0.6000000000000001,0.11740088,0.9960297346115112,0.33962264150943394
169,169,A woman is sitting at a desk.,A woman is riding a donkey.,0.4,0.09806429,0.9958568215370178,0.5
170,170,Medics transport a patient on a stretcher.,A doctor rushes a patient on a stretcher.,3.4,0.6792677,0.9940987825393676,0.6666666666666666
171,171,A woman is playing a flute on stage.,The woman is playing the flute.,3.6,0.742577,0.9948274493217468,0.6666666666666666
172,172,Two baby pandas are playing.,Two pandas are laying together.,3.0,0.5683093,0.9928408861160278,1.0
173,173,A baby is laughing.,A baby is laughing and giggling.,4.0,0.84370035,0.9911527037620544,1.0
174,174,A man is playing a guitar.,A boy is playing a piano.,1.2,0.23514801,0.9958951473236084,0.0
175,175,A man is folding paper.,A woman is slicing a pepper.,0.6000000000000001,0.07538373,0.9955202341079712,0.5
176,176,Three women are dancing.,The man is dancing.,1.6,0.33154234,0.9936425685882568,0.0
177,177,The cats are playing with each other.,Two cats are fighting each other.,2.6,0.4553986,0.9944032430648804,1.0
178,178,A person is writing.,A person is writing with a pencil.,3.6,0.7482812,0.9936540126800536,1.0
179,179,A man is running.,A man is running down a road.,3.5,0.77265334,0.9962732791900636,1.0
180,180,The woman is rolling dough.,A woman is flouring and rolling dough.,3.765,0.77499396,0.9965052604675292,1.0
181,181,A woman is adding spices on a meat.,Woman is adding sugar to meat.,2.75,0.526959,0.9059064984321594,0.6666666666666666
182,182,A woman is adding oil on fishes.,A woman is pouring water on fish.,2.25,0.4769192,0.9917399883270264,0.6666666666666666
183,183,A young boy is holding a guitar.,A little boy is playing a guitar.,2.75,0.48498607,0.996064841747284,0.6296296296296297
184,184,A cheetah is running.,A cheetah is running across a field.,3.8,0.8096754,0.9964912533760072,0.4857142857142857
185,185,The man is eating pizza.,A man is eating a slice of pizza.,4.8,0.97431934,0.9963459372520448,1.0
186,186,An orangutan is riding a bus.,A monkey is riding on a bus.,3.6,0.7665476,0.9960232973098756,0.5142857142857142
187,187,A man and a woman talk in a diner.,A man and a woman are riding on a bicycle.,1.2,0.18466496,0.9953215718269348,1.3333333333333333
188,188,A man is playing a guitar.,A man is cleaning a glass door.,0.4,0.07119271,0.9963099360466005,0.5142857142857142
189,189,A girl is singing and playing a guitar.,A young man is singing while playing the guitar.,2.4,0.5186441,0.995069980621338,0.4857142857142857
190,190,A girl is communicating with sign language.,A young girl is using sign language.,3.941,0.8168974,0.9950834512710572,0.5
191,191,A woman is doing weight exercises.,A woman is doing her hair.,0.5,0.08703859,0.9954036474227904,0.5
192,192,A man is getting inside a car.,An elderly man is getting into a red car.,3.75,0.7749347,0.9958823919296264,1.0
193,193,A big green ball knocks a potato over.,A large green ball hits a potato.,4.0,0.79287994,0.9929721355438232,0.6428571428571429
194,194,A cat is playing keyboards.,A cat is playing a piano.,3.0,0.55090535,0.995571494102478,0.3333333333333333
195,195,Two dogs swim in a pool.,Dogs are swimming in a pool.,4.2,0.81817573,0.9942542910575868,1.0
196,196,The man used a chopper to chop the onion.,The man used a machine to chop up a potatoe.,2.0,0.38220632,0.9956193566322328,0.3333333333333333
197,197,A woman slices tofu.,A woman is cutting tofu.,5.0,0.99675167,0.9956443309783936,1.0
198,198,A herd of deer are crossing the street.,A herd of caribou are crossing a road.,3.0,0.55726117,0.9961326122283936,0.0
199,199,The person is riding the horse.,A man is riding a horse.,3.8,0.7690366,0.9958730340003968,0.5
200,200,Someone is feeding a animal.,Someone is playing a piano.,0.0,0.0022802958,0.9956360459327698,0.0
201,201,Someone is slicing tortila's.,Someone is riding a horse.,0.0,0.0023215418,0.9955086708068848,0.0
202,202,Someone is mixing ingrediants.,Someone is sewing things.,0.25,0.02491717,0.9932679533958436,0.0
203,203,A rooster pecks at a dead mouse.,A chicken is pecking at a dead mouse.,4.0,0.7699067,0.996434211730957,0.0
204,204,A woman holds a kangaroo.,A woman is picking up a kangaroo.,3.25,0.71039844,0.9955466985702516,1.0
205,205,A man is playing with frogs,A cat is playing with a camera.,0.75,0.095080726,0.9959918856620787,0.0
206,206,Two men are talking.,Two men are playing guitar.,1.5,0.24428564,0.995165228843689,1.0
207,207,A man spreads butter on a big piece of bread.,A man is smearing butter on a slice of garlic bread.,3.5,0.7748411,0.99572092294693,0.84375
208,208,A man is running across a high wire.,A man is running on rope.,3.0,0.64254415,0.9961636066436768,0.391304347826087
209,209,A man is mowing a lawn.,A woman is cutting a lemon.,0.2,0.02880491,0.9958327412605286,0.3333333333333333
210,210,A man is opening a door.,A man is playing a guitar.,0.8,0.09550732,0.9958698153495787,0.5
211,211,A man is slicing a potato into pieces.,A man is cutting a potato.,4.2,0.87680304,0.996042251586914,0.6666666666666666
212,212,The woman is cutting cooked octopus.,A woman is chopping octopus.,3.8,0.7913153,0.6945379972457886,1.0
213,213,A man is punching through boards.,A dog is running through water.,0.4,0.06520676,0.9955209493637084,0.0
214,214,A man is dancing.,A man is eating bread.,0.8,0.11278142,0.9958035349845886,1.0
215,215,Someone is playing a piano.,A man is playing a guitar.,1.2,0.2082603,0.9958698153495787,0.0
216,216,Two foxes are eating from a plate on a brick patio.,Foxes are eating from a plate.,2.8,0.65596,0.9903448224067688,0.5
217,217,A boy is playing a key-board.,A boy is playing the piano.,3.2,0.7024804,0.9957308173179626,0.5142857142857142
218,218,A person plays a keyboard.,Someone is playing a keyboard.,5.0,0.9966757,0.9955334663391112,0.5
219,219,A man is shooting a gun.,A man is spitting.,0.0,0.02082926,0.9950043559074402,0.5
220,220,Someone is slicing an onion.,Someoen is peeling a potato.,1.0,0.20399037,0.9183799028396606,0.0
221,221,A man is swimming.,A woman is slicing meat.,0.0,0.0022134772,0.9958235025405884,1.0
222,222,A man is playing the guitar.,A man plays an acoustic guitar.,3.75,0.76461965,0.9949969053268432,1.0
223,223,A woman is slicing a pumpkin.,A woman is riding an elephant.,0.4,0.06878661,0.9955140948295592,0.5
224,224,A woman is dancing.,A woman is kneading dough.,0.4,0.099095635,0.9961965084075928,1.0
225,225,A woman is cracking eggs into a bowl.,A woman is placing skewers onto a rack.,0.6000000000000001,0.120995134,0.9947285056114196,0.3333333333333333
226,226,A car is moving through a road.,A car is driving down the road.,4.0,0.8640722,0.996410310268402,1.0
227,227,Someone is greasing a pan.,Smeone is laying down.,0.4,0.0023903842,0.9930311441421508,0.0
228,228,A man is playing guitar.,A man is draining pasta.,0.4,0.074549854,0.99612694978714,0.5142857142857142
229,229,A woman is drinking vodka.,A woman is exercising.,0.4,0.109967865,0.995136559009552,0.5
230,230,A woman is cutting meat into pieces.,A woman is cutting up some meat.,4.8,0.99038297,0.9958423972129822,0.6666666666666666
231,231,A man is rinsing a steak.,A man is playing a guitar.,0.6000000000000001,0.069695435,0.9958698153495787,0.5
232,232,A man is selling items.,A man is cleaning the house.,0.8,0.10901042,0.9959371089935304,0.5
233,233,A man is jumping a wall.,A man jumps onto a short wall.,3.2,0.76450855,0.9950226545333862,1.0
234,234,Runners race around a track.,Runners compete in a race.,3.2,0.64852613,0.9911325573921204,1.0
235,235,A man is kicking a soccer ball.,A man is mixing a bowl.,0.6000000000000001,0.075527854,0.990996479988098,0.5
236,236,A woman is frying something.,A woman is riding a horse.,0.6000000000000001,0.09014092,0.9958423972129822,1.0
237,237,A cat is licking a sucker.,A woman is slicing cucumber.,0.0,0.0023055112,0.9756332635879515,0.0
238,238,A woman is dancing by a fire.,A woman is taking a bath.,1.4,0.23258394,0.9961376786231996,0.5
239,239,The man is slicing a fish open.,A man is slicing a potato.,2.2,0.36058873,0.995976984500885,1.0
240,240,Butter is melting in a pan.,A man is melting butter in a pan.,3.6,0.7905849,0.9961578249931335,1.0
241,241,Three boys are dancing.,Kids are dancing.,3.111,0.6683322,0.9933953881263732,0.0
242,242,A woman is playing a game with a man.,A man is playing piano.,0.6000000000000001,0.032259215,0.9955714344978333,0.6666666666666666
243,243,The man is driving a white car.,A man is giving an interview.,0.4,0.091350354,0.9956127405166626,0.6428571428571429
244,244,A man drove his car.,A man is driving a car.,4.25,0.8391127,0.995698094367981,0.6666666666666666
245,245,A car backs out of a space.,A car is backing out of a blocked lane.,3.0,0.60943735,0.9961822628974916,0.5
246,246,A man puts some cheese on a pizza.,The man sprinkled cheese on the pizza.,5.0,0.9965856,0.995524287223816,1.0
247,247,The boy is playing the piano.,A boy plays a piano.,5.0,0.9968245,0.9943927526474,1.0
248,248,The man played his guitar.,A man is playing a guitar.,3.75,0.73234737,0.9958698153495787,1.0
249,249,A man is riding a horse.,A man is playing a keyboard.,0.2,0.0725258,0.9957937002182008,0.5
250,250,A man is walking on a rope.,A man is riding a mo-pad.,0.4,0.09535827,0.9948798418045044,0.5
251,251,A girl is playing a flute.,A band is playing on a stage.,1.286,0.21676455,0.9957572817802428,0.0
252,252,People step off a train.,A group of people get off a train.,4.6,0.9582938,0.995410144329071,1.0
253,253,A woman is sewing on a machine.,A woman is breading some meat.,0.6000000000000001,0.0735694,0.9964381456375122,0.5
254,254,A dog is looking into swimming pool.,A dog is walking around a pool.,2.0,0.4189128,0.996286153793335,1.0
255,255,A man is buttering a piece of bread.,A man is applying butter to bread.,5.0,0.99620605,0.9938324689865112,0.6666666666666666
256,256,A man is cutting tomatoes into pieces.,A woman is cutting some vegetables.,1.8,0.3719276,0.9963546991348268,0.3333333333333333
257,257,Three teenage girls danced in the room.,Some teenage girls are dancing for the camera.,2.4,0.49659723,0.9960718154907228,0.0
258,258,A lion is walking.,A lion is pacing in a pen.,2.4,0.50522584,0.9950855374336244,0.4857142857142857
259,259,A man shooting a car.,A man is cutting a potato.,0.4,0.06593119,0.996042251586914,0.5
260,260,A black horse is running around.,The horse is running.,4.2,0.8152107,0.9941052198410034,1.0
261,261,A woman is deveining shrimp.,A man is dancing in rain.,0.0,0.0022380361,0.9923672080039978,0.5
262,262,A man is riding a horse.,A woman is washing a freezer.,0.0,0.0022988436,0.9961200952529908,0.5
263,263,A man walks down a path.,A man walks across a tight rope.,0.8,0.18337934,0.99620121717453,0.5
264,264,A man is slicing a potato.,A woman is cutting a jalepeno.,1.4,0.21119826,0.9941593408584596,0.5
265,265,A dog is barking at a ball.,A dog swims after a tennis ball.,1.5,0.30050287,0.9954083561897278,1.0
